Program,Pose,Score
AutoDock-Vina,pose001,-9.2410
AutoDock-Vina,pose002,-9.1910
AutoDock-Vina,pose003,-9.0740
AutoDock-Vina,pose004,-8.7900
AutoDock-Vina,pose005,-8.7840
AutoDock-Vina,pose006,-8.5750
AutoDock-Vina,pose007,-8.5670
AutoDock-Vina,pose008,-8.5660
AutoDock-Vina,pose009,-8.5550
AutoDock-Vina,pose010,-8.5070
