Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
GB5,pose006,0.00,-44.57,-0.00,-44.57,-3.86,17.75,13.89,17.75,-30.68
GB5,pose007,0.00,-45.39,-0.00,-45.39,-4.07,17.55,13.47,17.55,-31.92
GB5,pose008,0.00,-41.61,-0.00,-41.61,-3.53,11.78,8.26,11.78,-33.36
GB5,pose009,0.00,-43.43,-0.00,-43.43,-3.49,15.69,12.20,15.69,-31.23
GB5,pose010,0.00,-41.21,-0.00,-41.21,-3.72,17.72,14.00,17.72,-27.21
GB6,pose001,0.00,-51.20,-0.00,-51.20,-5.06,34.69,29.63,34.69,-21.57
GB6,pose002,0.00,-49.55,-0.00,-49.55,-5.08,40.71,35.63,40.71,-13.92
GB6,pose003,0.00,-46.84,-0.00,-46.84,-5.04,37.17,32.14,37.17,-14.70
GB6,pose004,0.00,-50.74,-0.00,-50.74,-5.10,41.72,36.62,41.72,-14.12
GB6,pose005,0.00,-48.82,-0.00,-48.82,-4.58,35.14,30.57,35.14,-18.26
GB6,pose006,0.00,-44.57,-0.00,-44.57,-4.92,35.74,30.81,35.74,-13.76
GB6,pose007,0.00,-45.39,-0.00,-45.39,-4.84,37.70,32.87,37.70,-12.53
GB6,pose008,0.00,-41.61,-0.00,-41.61,-4.14,21.21,17.07,21.21,-24.54
GB6,pose009,0.00,-43.43,-0.00,-43.43,-4.50,30.19,25.69,30.19,-17.74
GB6,pose010,0.00,-41.21,-0.00,-41.21,-4.50,35.90,31.40,35.90,-9.80
GB7,pose001,0.00,-51.20,-0.00,-51.20,-4.72,23.01,18.29,23.01,-32.91
GB7,pose002,0.00,-49.55,-0.00,-49.55,-4.55,23.74,19.19,23.74,-30.37
GB7,pose003,0.00,-46.84,-0.00,-46.84,-4.28,18.14,13.86,18.14,-32.98
GB7,pose004,0.00,-50.74,-0.00,-50.74,-4.61,19.11,14.50,19.11,-36.24
GB7,pose005,0.00,-48.82,-0.00,-48.82,-4.31,19.06,14.75,19.06,-34.07
GB7,pose006,0.00,-44.57,-0.00,-44.57,-3.86,18.48,14.62,18.48,-29.95
GB7,pose007,0.00,-45.39,-0.00,-45.39,-4.07,19.27,15.19,19.27,-30.20
GB7,pose008,0.00,-41.61,-0.00,-41.61,-3.53,11.39,7.86,11.39,-33.75
GB7,pose009,0.00,-43.43,-0.00,-43.43,-3.49,15.34,11.85,15.34,-31.58
GB7,pose010,0.00,-41.21,-0.00,-41.21,-3.72,19.85,16.13,19.85,-25.08
GB8,pose001,0.00,-51.20,-0.00,-51.20,-4.72,26.73,22.01,26.73,-29.19
GB8,pose002,0.00,-49.55,-0.00,-49.55,-4.55,28.44,23.89,28.44,-25.67
GB8,pose003,0.00,-46.84,-0.00,-46.84,-4.28,23.93,19.65,23.93,-27.19
GB8,pose004,0.00,-50.74,-0.00,-50.74,-4.61,25.58,20.97,25.58,-29.77
GB8,pose005,0.00,-48.82,-0.00,-48.82,-4.31,23.45,19.14,23.45,-29.68
GB8,pose006,0.00,-44.57,-0.00,-44.57,-3.86,24.13,20.28,24.13,-24.30
GB8,pose007,0.00,-45.39,-0.00,-45.39,-4.07,25.23,21.16,25.23,-24.24
GB8,pose008,0.00,-41.61,-0.00,-41.61,-3.53,13.61,10.08,13.61,-31.53
GB8,pose009,0.00,-43.43,-0.00,-43.43,-3.49,17.70,14.21,17.70,-29.22
GB8,pose010,0.00,-41.21,-0.00,-41.21,-3.72,25.02,21.31,25.02,-19.90
