Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-12.57,0.00,-12.57,-8.05,4.78,14.84,4.78,2.28
PB1,pose002,0.00,-16.51,-0.00,-16.51,-10.16,5.55,14.15,5.55,-2.36
PB1,pose003,0.00,-11.53,0.00,-11.53,-6.73,15.36,23.71,15.36,12.18
PB1,pose004,0.00,-14.99,0.00,-14.99,-8.98,6.02,15.16,6.02,0.17
PB1,pose005,0.00,-17.14,0.00,-17.14,-12.31,10.80,21.77,10.80,4.63
PB1,pose006,0.00,-8.40,0.00,-8.40,-5.22,2.56,10.93,2.56,2.53
PB1,pose007,0.00,-14.14,-0.00,-14.14,-9.45,8.90,17.71,8.90,3.56
PB1,pose008,0.00,-12.37,0.00,-12.37,-7.23,8.96,16.21,8.96,3.84
PB1,pose009,0.00,-12.86,0.00,-12.86,-7.45,4.60,15.54,4.60,2.67
PB3,pose001,0.00,-12.57,0.00,-12.57,-2.59,7.42,4.82,7.42,-7.74
PB3,pose002,0.00,-16.51,-0.00,-16.51,-2.72,7.56,4.85,7.56,-11.67
PB3,pose003,0.00,-11.53,0.00,-11.53,-2.20,12.36,10.15,12.36,-1.37
PB3,pose004,0.00,-14.99,0.00,-14.99,-2.59,7.84,5.25,7.84,-9.74
PB3,pose005,0.00,-17.14,0.00,-17.14,-3.22,11.92,8.70,11.92,-8.44
PB3,pose006,0.00,-8.40,0.00,-8.40,-2.18,4.06,1.87,4.06,-6.53
PB3,pose007,0.00,-14.14,-0.00,-14.14,-2.68,10.90,8.22,10.90,-5.93
PB3,pose008,0.00,-12.37,0.00,-12.37,-2.30,11.25,8.95,11.25,-3.42
PB3,pose009,0.00,-12.86,0.00,-12.86,-2.53,7.32,4.79,7.32,-8.07
PB4,pose001,0.00,-12.57,0.00,-12.57,-2.22,6.82,4.59,6.82,-7.97
PB4,pose002,0.00,-16.51,-0.00,-16.51,-2.39,6.46,4.07,6.46,-12.44
PB4,pose003,0.00,-11.53,0.00,-11.53,-1.71,12.51,10.80,12.51,-0.73
PB4,pose004,0.00,-14.99,0.00,-14.99,-2.22,7.24,5.02,7.24,-9.97
PB4,pose005,0.00,-17.14,0.00,-17.14,-3.06,10.32,7.26,10.32,-9.89
