Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
GB5,pose007,0.00,-14.94,-0.00,-14.95,-1.46,9.06,7.60,9.06,-7.34
GB5,pose008,0.00,-12.70,-0.00,-12.70,-1.15,5.82,4.67,5.82,-8.03
GB5,pose009,0.00,-14.23,-0.00,-14.24,-1.26,7.18,5.92,7.18,-8.31
GB5,pose010,0.00,-15.13,0.00,-15.13,-1.35,7.75,6.41,7.75,-8.73
GB6,pose001,0.00,-14.77,0.00,-14.77,-1.95,14.16,12.21,14.16,-2.56
GB6,pose002,0.00,-13.33,0.00,-13.33,-1.57,8.23,6.66,8.23,-6.67
GB6,pose003,0.00,-12.18,-0.00,-12.18,-1.44,10.95,9.51,10.95,-2.68
GB6,pose004,0.00,-14.79,-0.00,-14.79,-1.59,15.74,14.15,15.74,-0.64
GB6,pose005,0.00,-16.05,-0.00,-16.06,-1.69,15.62,13.93,15.62,-2.13
GB6,pose006,0.00,-12.84,-0.00,-12.84,-1.36,16.74,15.39,16.74,2.54
GB6,pose007,0.00,-14.94,-0.00,-14.95,-1.69,21.42,19.74,21.42,4.79
GB6,pose008,0.00,-12.70,-0.00,-12.70,-1.53,11.91,10.38,11.91,-2.32
GB6,pose009,0.00,-14.23,-0.00,-14.24,-1.57,15.71,14.14,15.71,-0.09
GB6,pose010,0.00,-15.13,0.00,-15.13,-1.66,16.30,14.64,16.30,-0.49
GB7,pose001,0.00,-14.77,0.00,-14.77,-1.39,8.39,7.00,8.39,-7.77
GB7,pose002,0.00,-13.33,0.00,-13.33,-1.17,3.25,2.09,3.25,-11.25
GB7,pose003,0.00,-12.18,-0.00,-12.18,-1.10,5.57,4.47,5.57,-7.72
GB7,pose004,0.00,-14.79,-0.00,-14.79,-1.15,9.76,8.61,9.76,-6.17
GB7,pose005,0.00,-16.05,-0.00,-16.06,-1.39,8.57,7.19,8.57,-8.87
GB7,pose006,0.00,-12.84,-0.00,-12.84,-1.03,7.79,6.77,7.79,-6.08
GB7,pose007,0.00,-14.94,-0.00,-14.95,-1.46,11.15,9.69,11.15,-5.25
GB7,pose008,0.00,-12.70,-0.00,-12.70,-1.15,5.36,4.21,5.36,-8.49
GB7,pose009,0.00,-14.23,-0.00,-14.24,-1.26,8.02,6.76,8.02,-7.48
GB7,pose010,0.00,-15.13,0.00,-15.13,-1.35,8.17,6.82,8.17,-8.31
GB8,pose001,0.00,-14.77,0.00,-14.77,-1.39,7.83,6.44,7.83,-8.33
GB8,pose002,0.00,-13.33,0.00,-13.33,-1.17,4.31,3.14,4.31,-10.19
GB8,pose003,0.00,-12.18,-0.00,-12.18,-1.10,6.28,5.18,6.28,-7.01
GB8,pose004,0.00,-14.79,-0.00,-14.79,-1.15,10.54,9.39,10.54,-5.40
GB8,pose005,0.00,-16.05,-0.00,-16.06,-1.39,10.38,8.99,10.38,-7.06
GB8,pose006,0.00,-12.84,-0.00,-12.84,-1.03,9.11,8.08,9.11,-4.77
GB8,pose007,0.00,-14.94,-0.00,-14.95,-1.46,9.69,8.23,9.69,-6.71
GB8,pose008,0.00,-12.70,-0.00,-12.70,-1.15,5.66,4.51,5.66,-8.18
GB8,pose009,0.00,-14.23,-0.00,-14.24,-1.26,8.82,7.57,8.82,-6.67
GB8,pose010,0.00,-15.13,0.00,-15.13,-1.35,8.14,6.80,8.14,-8.34
