Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
GB5,pose007,0.00,-41.53,0.00,-41.53,-4.01,15.59,11.58,15.59,-29.95
GB5,pose008,0.00,-40.02,0.00,-40.02,-3.84,13.87,10.03,13.87,-29.99
GB5,pose009,0.00,-41.91,0.00,-41.91,-3.90,18.15,14.25,18.15,-27.66
GB5,pose010,0.00,-43.78,0.00,-43.78,-3.59,14.15,10.56,14.15,-33.23
GB6,pose001,0.00,-46.27,0.00,-46.27,-5.22,37.99,32.77,37.99,-13.50
GB6,pose002,0.00,-44.38,0.00,-44.38,-5.27,37.01,31.74,37.01,-12.64
GB6,pose003,0.00,-56.37,0.00,-56.37,-5.08,28.08,22.99,28.08,-33.38
GB6,pose004,0.00,-45.48,0.00,-45.48,-5.05,44.01,38.96,44.01,-6.52
GB6,pose005,0.00,-45.67,0.00,-45.67,-5.31,39.06,33.75,39.06,-11.91
GB6,pose006,0.00,-44.03,0.00,-44.03,-4.40,28.86,24.46,28.86,-19.57
GB6,pose007,0.00,-41.53,0.00,-41.53,-5.28,40.71,35.43,40.71,-6.10
GB6,pose008,0.00,-40.02,0.00,-40.02,-4.94,30.99,26.05,30.99,-13.97
GB6,pose009,0.00,-41.91,0.00,-41.91,-4.93,40.87,35.94,40.87,-5.97
GB6,pose010,0.00,-43.78,0.00,-43.78,-4.54,25.92,21.37,25.92,-22.41
GB7,pose001,0.00,-46.27,0.00,-46.27,-4.26,18.99,14.72,18.99,-31.55
GB7,pose002,0.00,-44.38,0.00,-44.38,-4.01,20.72,16.71,20.72,-27.67
GB7,pose003,0.00,-56.37,0.00,-56.37,-4.87,14.15,9.28,14.15,-47.09
GB7,pose004,0.00,-45.48,0.00,-45.48,-4.27,21.79,17.52,21.79,-27.95
GB7,pose005,0.00,-45.67,0.00,-45.67,-4.40,19.53,15.13,19.53,-30.54
GB7,pose006,0.00,-44.03,0.00,-44.03,-3.65,14.93,11.28,14.93,-32.75
GB7,pose007,0.00,-41.53,0.00,-41.53,-4.01,18.39,14.38,18.39,-27.15
GB7,pose008,0.00,-40.02,0.00,-40.02,-3.84,14.44,10.60,14.44,-29.41
GB7,pose009,0.00,-41.91,0.00,-41.91,-3.90,21.31,17.41,21.31,-24.50
GB7,pose010,0.00,-43.78,0.00,-43.78,-3.59,14.72,11.12,14.72,-32.66
GB8,pose001,0.00,-46.27,0.00,-46.27,-4.26,25.61,21.35,25.61,-24.92
GB8,pose002,0.00,-44.38,0.00,-44.38,-4.01,25.73,21.72,25.73,-22.66
GB8,pose003,0.00,-56.37,0.00,-56.37,-4.87,18.49,13.63,18.49,-42.74
GB8,pose004,0.00,-45.48,0.00,-45.48,-4.27,28.89,24.62,28.89,-20.85
GB8,pose005,0.00,-45.67,0.00,-45.67,-4.40,26.87,22.47,26.87,-23.20
GB8,pose006,0.00,-44.03,0.00,-44.03,-3.65,16.75,13.10,16.75,-30.93
GB8,pose007,0.00,-41.53,0.00,-41.53,-4.01,21.68,17.68,21.68,-23.85
GB8,pose008,0.00,-40.02,0.00,-40.02,-3.84,18.27,14.43,18.27,-25.59
GB8,pose009,0.00,-41.91,0.00,-41.91,-3.90,28.46,24.55,28.46,-17.36
GB8,pose010,0.00,-43.78,0.00,-43.78,-3.59,15.81,12.21,15.81,-31.57
