Program,Pose,Score
AutoDock-Vina,pose001,-2.4390
AutoDock-Vina,pose002,-2.2520
AutoDock-Vina,pose003,-2.1390
AutoDock-Vina,pose004,-2.1280
AutoDock-Vina,pose005,-2.0680
AutoDock-Vina,pose006,-2.0380
AutoDock-Vina,pose007,-2.0330
AutoDock-Vina,pose008,-2.0180
AutoDock-Vina,pose009,-1.9530
AutoDock-Vina,pose010,-1.9210
