Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-56.03,-0.01,-56.04,-39.32,33.90,62.91,33.90,6.88
PB1,pose002,0.00,-55.01,-0.01,-55.02,-39.54,45.36,76.51,45.36,21.48
PB1,pose003,0.00,-59.56,-0.01,-59.57,-39.60,26.08,55.68,26.08,-3.89
PB1,pose004,0.00,-58.75,-0.01,-58.75,-39.54,29.99,59.81,29.99,1.05
PB1,pose005,0.00,-54.46,-0.01,-54.47,-37.34,50.86,80.69,50.86,26.22
PB1,pose006,0.00,-49.40,-0.01,-49.41,-36.82,40.35,71.66,40.35,22.24
PB1,pose007,0.00,-45.83,-0.01,-45.84,-32.11,35.47,62.70,35.47,16.86
PB1,pose008,0.00,-50.08,-0.01,-50.08,-34.77,43.11,70.02,43.11,19.93
PB1,pose009,0.00,-53.89,-0.01,-53.90,-37.72,41.11,69.87,41.11,15.98
PB1,pose010,0.00,-51.97,-0.01,-51.98,-37.80,32.34,59.58,32.34,7.60
PB3,pose001,0.00,-56.03,-0.01,-56.04,-6.75,40.47,33.72,40.47,-22.32
PB3,pose002,0.00,-55.01,-0.01,-55.02,-7.07,50.03,42.96,50.03,-12.07
PB3,pose003,0.00,-59.56,-0.01,-59.57,-6.64,35.41,28.77,35.41,-30.80
PB3,pose004,0.00,-58.75,-0.01,-58.75,-6.52,37.91,31.39,37.91,-27.37
PB3,pose005,0.00,-54.46,-0.01,-54.47,-6.69,54.30,47.60,54.30,-6.86
PB3,pose006,0.00,-49.40,-0.01,-49.41,-6.93,47.65,40.72,47.65,-8.70
PB3,pose007,0.00,-45.83,-0.01,-45.84,-6.16,33.03,26.87,33.03,-18.97
PB3,pose008,0.00,-50.08,-0.01,-50.08,-6.34,39.53,33.19,39.53,-16.90
PB3,pose009,0.00,-53.89,-0.01,-53.90,-6.70,52.25,45.55,52.25,-8.35
PB3,pose010,0.00,-51.97,-0.01,-51.98,-6.75,44.23,37.48,44.23,-14.50
PB4,pose001,0.00,-56.03,-0.01,-56.04,-7.74,36.56,28.81,36.56,-27.22
PB4,pose002,0.00,-55.01,-0.01,-55.02,-8.17,46.45,38.28,46.45,-16.75
PB4,pose003,0.00,-59.56,-0.01,-59.57,-7.60,29.10,21.50,29.10,-38.07
PB4,pose004,0.00,-58.75,-0.01,-58.75,-7.44,30.08,22.63,30.08,-36.12
PB4,pose005,0.00,-54.46,-0.01,-54.47,-7.67,53.19,45.52,53.19,-8.95
PB4,pose006,0.00,-49.40,-0.01,-49.41,-7.99,44.90,36.91,44.90,-12.50
PB4,pose007,0.00,-45.83,-0.01,-45.84,-6.96,33.57,26.61,33.57,-19.23
