Program,Pose,Score
AutoDock-Vina,pose010,-7.968
AutoDock-Vina,pose001,-10.318
AutoDock-Vina,pose002,-10.114
AutoDock-Vina,pose003,-9.942
AutoDock-Vina,pose004,-9.915
AutoDock-Vina,pose005,-9.786
AutoDock-Vina,pose006,-9.487
AutoDock-Vina,pose007,-9.414
AutoDock-Vina,pose008,-9.232
AutoDock-Vina,pose009,-9.209
AutoDock-Vina,pose010,-8.98
AutoDock-Vina,pose001,-10.796
AutoDock-Vina,pose002,-10.539
AutoDock-Vina,pose003,-10.488
AutoDock-Vina,pose004,-10.436
AutoDock-Vina,pose005,-10.125
AutoDock-Vina,pose006,-9.88
AutoDock-Vina,pose007,-9.736
AutoDock-Vina,pose008,-9.626
AutoDock-Vina,pose009,-9.587
AutoDock-Vina,pose010,-9.561
AutoDock-Vina,pose001,-10.607
AutoDock-Vina,pose002,-10.282
AutoDock-Vina,pose003,-9.939
AutoDock-Vina,pose004,-9.647
AutoDock-Vina,pose005,-9.643
AutoDock-Vina,pose006,-9.534
AutoDock-Vina,pose007,-9.529
AutoDock-Vina,pose008,-9.391
AutoDock-Vina,pose009,-9.285
AutoDock-Vina,pose010,-9.2
