Program,Pose,Score
AutoDock-Vina,pose001,-2.4860
AutoDock-Vina,pose002,-2.3160
AutoDock-Vina,pose003,-2.3150
AutoDock-Vina,pose004,-2.2840
AutoDock-Vina,pose005,-2.2380
AutoDock-Vina,pose006,-2.2070
AutoDock-Vina,pose007,-2.2060
AutoDock-Vina,pose008,-2.1990
AutoDock-Vina,pose009,-2.1810
