Program,Pose,Score
AutoDock-Vina,pose001,-7.3870
AutoDock-Vina,pose002,-7.0990
AutoDock-Vina,pose003,-6.8640
AutoDock-Vina,pose004,-6.8010
AutoDock-Vina,pose005,-6.7420
AutoDock-Vina,pose006,-6.6440
AutoDock-Vina,pose007,-6.5560
AutoDock-Vina,pose008,-6.5550
AutoDock-Vina,pose009,-6.3670
AutoDock-Vina,pose010,-6.2940
