Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-58.70,0.00,-58.70,-43.13,48.19,79.38,48.19,20.69
PB1,pose002,0.00,-61.44,0.00,-61.44,-42.12,42.37,75.00,42.37,13.56
PB1,pose003,0.00,-61.95,0.00,-61.95,-41.12,50.26,82.29,50.26,20.34
PB1,pose004,0.00,-52.93,0.00,-52.93,-36.18,50.50,81.55,50.50,28.62
PB1,pose005,0.00,-54.27,0.00,-54.27,-40.32,48.03,80.30,48.03,26.03
PB1,pose006,0.00,-64.80,-0.00,-64.80,-44.49,38.87,68.92,38.87,4.11
PB1,pose007,0.00,-62.07,0.00,-62.07,-42.39,42.78,76.35,42.78,14.28
PB1,pose008,0.00,-60.58,0.00,-60.58,-41.99,48.27,81.02,48.27,20.44
PB1,pose009,0.00,-56.59,0.00,-56.59,-41.51,33.37,64.59,33.37,8.00
PB1,pose010,0.00,-60.11,0.00,-60.11,-40.27,35.96,69.55,35.96,9.44
PB3,pose001,0.00,-58.70,0.00,-58.70,-7.29,51.85,44.56,51.85,-14.14
PB3,pose002,0.00,-61.44,0.00,-61.44,-7.26,48.60,41.34,48.60,-20.10
PB3,pose003,0.00,-61.95,0.00,-61.95,-7.27,56.97,49.69,56.97,-12.26
PB3,pose004,0.00,-52.93,0.00,-52.93,-6.78,57.98,51.20,57.98,-1.73
PB3,pose005,0.00,-54.27,0.00,-54.27,-7.43,47.66,40.22,47.66,-14.05
PB3,pose006,0.00,-64.80,-0.00,-64.80,-7.02,45.16,38.14,45.16,-26.67
PB3,pose007,0.00,-62.07,0.00,-62.07,-7.42,52.46,45.04,52.46,-17.04
PB3,pose008,0.00,-60.58,0.00,-60.58,-7.46,50.15,42.69,50.15,-17.89
PB3,pose009,0.00,-56.59,0.00,-56.59,-7.43,39.90,32.47,39.90,-24.11
PB3,pose010,0.00,-60.11,0.00,-60.11,-7.10,42.29,35.19,42.29,-24.91
PB4,pose001,0.00,-58.70,0.00,-58.70,-8.46,48.37,39.90,48.37,-18.79
PB4,pose002,0.00,-61.44,0.00,-61.44,-8.42,40.00,31.58,40.00,-29.86
PB4,pose003,0.00,-61.95,0.00,-61.95,-8.44,49.83,41.39,49.83,-20.56
PB4,pose004,0.00,-52.93,0.00,-52.93,-7.78,52.95,45.17,52.95,-7.76
PB4,pose005,0.00,-54.27,0.00,-54.27,-8.65,46.35,37.70,46.35,-16.57
PB4,pose006,0.00,-64.80,-0.00,-64.80,-8.11,36.81,28.70,36.81,-36.10
PB4,pose007,0.00,-62.07,0.00,-62.07,-8.64,41.85,33.21,41.85,-28.86
PB4,pose008,0.00,-60.58,0.00,-60.58,-8.69,44.63,35.94,44.63,-24.64
PB4,pose009,0.00,-56.59,0.00,-56.59,-8.65,33.99,25.34,33.99,-31.25
PB4,pose010,0.00,-60.11,0.00,-60.11,-8.20,36.61,28.41,36.61,-31.70
GB1,pose001,0.00,-58.70,0.00,-58.70,-7.94,16.81,8.87,16.81,-49.82
GB1,pose002,0.00,-61.44,0.00,-61.44,-7.87,16.01,8.14,16.01,-53.30
GB1,pose003,0.00,-61.95,0.00,-61.95,-7.71,19.23,11.52,19.23,-50.43
GB1,pose004,0.00,-52.93,0.00,-52.93,-6.95,17.89,10.94,17.89,-41.99
GB1,pose005,0.00,-54.27,0.00,-54.27,-7.33,17.06,9.73,17.06,-44.54
GB1,pose006,0.00,-64.80,-0.00,-64.80,-8.52,16.67,8.15,16.67,-56.66
GB1,pose007,0.00,-62.07,0.00,-62.07,-8.12,17.02,8.89,17.02,-53.18
GB1,pose008,0.00,-60.58,0.00,-60.58,-7.90,16.39,8.49,16.39,-52.09
GB1,pose009,0.00,-56.59,0.00,-56.59,-7.53,14.83,7.29,14.83,-49.29
GB1,pose010,0.00,-60.11,0.00,-60.11,-7.67,14.60,6.94,14.60,-53.17
GB2,pose001,0.00,-58.70,0.00,-58.70,-5.51,21.48,15.96,21.48,-42.73
