Program,Pose,Score
AutoDock-Vina,pose001,-10.1170
AutoDock-Vina,pose002,-9.8090
AutoDock-Vina,pose003,-9.4130
AutoDock-Vina,pose004,-9.3840
AutoDock-Vina,pose005,-9.1570
AutoDock-Vina,pose006,-9.1100
AutoDock-Vina,pose007,-8.8400
AutoDock-Vina,pose008,-8.8220
AutoDock-Vina,pose009,-8.4420
AutoDock-Vina,pose010,-7.9680
