Program,Pose,Score
AutoDock-Vina,pose001,-10.5330
AutoDock-Vina,pose002,-10.2520
AutoDock-Vina,pose003,-9.8450
AutoDock-Vina,pose004,-9.5050
AutoDock-Vina,pose005,-9.3440
AutoDock-Vina,pose006,-9.2390
AutoDock-Vina,pose007,-9.1650
AutoDock-Vina,pose008,-9.0980
AutoDock-Vina,pose009,-8.9680
AutoDock-Vina,pose010,-8.9630
