Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
GB5,pose007,0.00,-43.50,0.01,-43.50,-3.99,17.98,13.99,17.98,-29.50
GB5,pose008,0.00,-42.52,0.01,-42.51,-3.88,14.79,10.91,14.79,-31.61
GB5,pose009,0.00,-41.57,0.01,-41.56,-3.89,16.56,12.67,16.56,-28.89
GB5,pose010,0.00,-42.20,0.01,-42.19,-4.02,15.38,11.35,15.38,-30.84
GB6,pose001,0.00,-44.20,0.01,-44.20,-5.23,37.73,32.49,37.73,-11.71
GB6,pose002,0.00,-46.52,0.01,-46.51,-5.17,38.54,33.36,38.54,-13.15
GB6,pose003,0.00,-56.00,0.01,-55.99,-5.09,28.62,23.53,28.62,-32.46
GB6,pose004,0.00,-47.48,0.01,-47.47,-5.12,42.97,37.85,42.97,-9.62
GB6,pose005,0.00,-45.81,0.01,-45.80,-4.99,37.96,32.96,37.96,-12.84
GB6,pose006,0.00,-45.47,0.01,-45.46,-5.26,37.71,32.44,37.71,-13.02
GB6,pose007,0.00,-43.50,0.01,-43.50,-4.90,36.75,31.85,36.75,-11.65
GB6,pose008,0.00,-42.52,0.01,-42.51,-4.88,32.14,27.26,32.14,-15.25
GB6,pose009,0.00,-41.57,0.01,-41.56,-5.05,39.46,34.40,39.46,-7.16
GB6,pose010,0.00,-42.20,0.01,-42.19,-4.77,28.75,23.97,28.75,-18.22
GB7,pose001,0.00,-44.20,0.01,-44.20,-4.05,20.78,16.73,20.78,-27.47
GB7,pose002,0.00,-46.52,0.01,-46.51,-4.32,19.60,15.28,19.60,-31.23
GB7,pose003,0.00,-56.00,0.01,-55.99,-4.83,13.63,8.80,13.63,-47.19
GB7,pose004,0.00,-47.48,0.01,-47.47,-4.33,22.76,18.43,22.76,-29.04
GB7,pose005,0.00,-45.81,0.01,-45.80,-4.27,21.87,17.61,21.87,-28.19
GB7,pose006,0.00,-45.47,0.01,-45.46,-4.42,19.35,14.94,19.35,-30.53
GB7,pose007,0.00,-43.50,0.01,-43.50,-3.99,21.14,17.16,21.14,-26.34
GB7,pose008,0.00,-42.52,0.01,-42.51,-3.88,16.04,12.16,16.04,-30.35
GB7,pose009,0.00,-41.57,0.01,-41.56,-3.89,18.26,14.37,18.26,-27.20
GB7,pose010,0.00,-42.20,0.01,-42.19,-4.02,15.90,11.88,15.90,-30.31
GB8,pose001,0.00,-44.20,0.01,-44.20,-4.05,26.11,22.06,26.11,-22.14
GB8,pose002,0.00,-46.52,0.01,-46.51,-4.32,26.22,21.90,26.22,-24.61
GB8,pose003,0.00,-56.00,0.01,-55.99,-4.83,18.31,13.48,18.31,-42.51
GB8,pose004,0.00,-47.48,0.01,-47.47,-4.33,33.61,29.28,33.61,-18.20
GB8,pose005,0.00,-45.81,0.01,-45.80,-4.27,29.61,25.34,29.61,-20.46
GB8,pose006,0.00,-45.47,0.01,-45.46,-4.42,27.29,22.87,27.29,-22.59
GB8,pose007,0.00,-43.50,0.01,-43.50,-3.99,27.85,23.87,27.85,-19.63
GB8,pose008,0.00,-42.52,0.01,-42.51,-3.88,19.58,15.70,19.58,-26.81
GB8,pose009,0.00,-41.57,0.01,-41.56,-3.89,25.41,21.51,25.41,-20.05
GB8,pose010,0.00,-42.20,0.01,-42.19,-4.02,20.76,16.74,20.76,-25.45
