0	1.893
1	2.060
2	2.130
3	2.282
4	2.398
5	2.453
6	2.489
7	2.511
8	2.499
9	2.570
10	2.538
11	2.529
12	2.472
13	2.631
14	2.616
15	2.653
16	2.736
17	2.668
18	2.667
19	2.646
20	2.656
21	2.741
22	2.694
23	2.711
24	2.778
25	2.695
26	2.738
27	2.781
28	2.795
29	2.791
30	2.773
31	2.787
32	2.820
33	2.792
34	2.766
35	2.771
36	2.801
37	2.874
38	2.851
39	2.872
40	2.871
41	2.878
42	2.819
43	2.837
44	2.826
45	2.824
46	2.797
47	2.798
48	2.792
49	2.780
50	2.769
51	2.773
52	2.842
53	2.844
54	2.871
55	2.840
56	2.835
57	2.851
58	2.869
59	2.904
60	2.897
61	2.948
62	2.887
63	2.885
64	2.898
65	2.894
66	2.821
67	2.846
68	2.860
69	2.904
70	2.846
71	2.798
72	2.771
73	2.830
74	2.827
75	2.871
76	2.873
77	2.853
78	2.824
79	2.784
80	2.821
81	2.839
82	2.830
83	2.815
84	2.797
85	2.842
86	2.866
87	2.839
88	2.793
89	2.829
90	2.881
91	2.879
92	2.820
93	2.888
94	2.873
95	2.882
96	2.957
97	2.906
98	2.922
99	2.949
100	2.968
101	2.892
102	2.934
103	2.959
104	2.959
105	2.934
106	2.941
107	2.963
108	2.979
109	2.915
110	2.948
111	2.973
112	2.989
113	2.996
114	3.001
115	2.975
116	3.019
117	2.965
118	2.961
119	3.008
120	2.977
121	3.048
122	2.981
123	3.023
124	3.009
125	3.005
126	3.053
127	3.028
128	3.069
129	3.090
130	3.064
131	3.038
132	2.968
133	3.019
134	3.069
135	3.075
136	3.094
137	3.168
138	3.139
139	3.157
140	3.164
141	3.209
142	3.182
143	3.214
144	3.238
145	3.238
146	3.245
147	3.289
148	3.246
149	3.272
150	3.247
151	3.272
152	3.282
153	3.195
154	3.271
155	3.301
156	3.242
157	3.262
158	3.239
159	3.227
160	3.319
161	3.363
162	3.328
163	3.310
164	3.309
165	3.270
166	3.300
167	3.319
168	3.278
169	3.268
170	3.254
171	3.283
172	3.275
173	3.307
174	3.317
175	3.261
176	3.294
177	3.271
178	3.244
179	3.173
180	3.267
181	3.278
182	3.225
183	3.239
184	3.246
185	3.206
186	3.187
187	3.186
188	3.178
189	3.192
190	3.210
191	3.170
192	3.162
193	3.132
194	3.144
195	3.198
196	3.181
197	3.205
198	3.150
199	3.160
200	3.117
201	3.149
202	3.147
203	3.182
204	3.198
205	3.184
206	3.195
207	3.194
208	3.215
209	3.228
210	3.229
211	3.271
212	3.251
213	3.262
214	3.210
215	3.251
216	3.188
217	3.219
218	3.206
219	3.220
220	3.226
221	3.228
222	3.208
223	3.262
224	3.265
225	3.321
226	3.367
227	3.389
228	3.402
229	3.361
230	3.366
231	3.310
232	3.355
233	3.341
234	3.338
235	3.242
236	3.239
237	3.268
238	3.287
239	3.210
240	3.280
241	3.268
242	3.237
243	3.268
244	3.228
245	3.199
246	3.171
247	3.182
248	3.151
249	3.168
250	3.211
251	3.234
252	3.178
253	3.175
254	3.163
255	3.173
256	3.181
257	3.225
258	3.210
259	3.250
260	3.244
261	3.254
262	3.222
263	3.227
264	3.187
265	3.260
266	3.242
267	3.231
268	3.258
269	3.283
270	3.278
271	3.298
272	3.290
273	3.284
274	3.199
275	3.206
276	3.178
277	3.174
278	3.228
279	3.216
280	3.228
281	3.196
282	3.204
283	3.223
284	3.234
285	3.237
286	3.276
287	3.255
288	3.247
289	3.209
290	3.206
291	3.240
292	3.211
293	3.265
294	3.262
295	3.277
296	3.310
297	3.281
298	3.269
299	3.215
