Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-58.84,0.01,-58.83,-39.04,26.83,54.11,26.83,-4.72
PB1,pose002,0.00,-45.76,0.01,-45.76,-31.65,42.79,67.08,42.79,21.32
PB1,pose003,0.00,-44.91,0.00,-44.91,-33.33,46.09,73.57,46.09,28.66
PB1,pose004,0.00,-42.97,0.00,-42.97,-32.88,38.40,64.62,38.40,21.65
PB1,pose005,0.00,-48.67,0.00,-48.66,-33.81,59.49,89.52,59.49,40.86
PB1,pose006,0.00,-42.52,0.00,-42.51,-32.95,46.10,72.89,46.10,30.38
PB1,pose007,0.00,-42.45,0.00,-42.45,-32.74,43.14,68.98,43.14,26.53
PB1,pose008,0.00,-46.85,0.00,-46.84,-33.45,59.04,90.91,59.04,44.06
PB1,pose009,0.00,-43.44,0.00,-43.43,-29.51,28.83,52.55,28.83,9.11
PB1,pose010,0.00,-46.37,0.00,-46.37,-32.48,36.08,65.08,36.08,18.71
PB3,pose001,0.00,-58.84,0.01,-58.83,-6.36,33.07,26.72,33.07,-32.12
PB3,pose002,0.00,-45.76,0.01,-45.76,-6.00,41.94,35.93,41.94,-9.82
PB3,pose003,0.00,-44.91,0.00,-44.91,-6.40,41.20,34.81,41.20,-10.10
PB3,pose004,0.00,-42.97,0.00,-42.97,-6.50,37.22,30.72,37.22,-12.25
PB3,pose005,0.00,-48.67,0.00,-48.66,-6.56,54.32,47.76,54.32,-0.90
PB3,pose006,0.00,-42.52,0.00,-42.51,-6.44,38.48,32.04,38.48,-10.47
PB3,pose007,0.00,-42.45,0.00,-42.45,-6.26,44.09,37.83,44.09,-4.61
PB3,pose008,0.00,-46.85,0.00,-46.84,-6.78,57.74,50.96,57.74,4.12
PB3,pose009,0.00,-43.44,0.00,-43.43,-5.59,29.82,24.23,29.82,-19.20
PB3,pose010,0.00,-46.37,0.00,-46.37,-6.26,37.94,31.68,37.94,-14.69
PB4,pose001,0.00,-58.84,0.01,-58.83,-7.23,28.65,21.42,28.65,-37.41
PB4,pose002,0.00,-45.76,0.01,-45.76,-6.75,40.04,33.29,40.04,-12.47
PB4,pose003,0.00,-44.91,0.00,-44.91,-7.27,39.93,32.65,39.93,-12.25
PB4,pose004,0.00,-42.97,0.00,-42.97,-7.41,36.75,29.34,36.75,-13.63
PB4,pose005,0.00,-48.67,0.00,-48.66,-7.49,50.20,42.71,50.20,-5.95
PB4,pose006,0.00,-42.52,0.00,-42.51,-7.33,39.17,31.84,39.17,-10.67
PB4,pose007,0.00,-42.45,0.00,-42.45,-7.09,38.81,31.72,38.81,-10.73
PB4,pose008,0.00,-46.85,0.00,-46.84,-7.78,53.71,45.92,53.71,-0.92
PB4,pose009,0.00,-43.44,0.00,-43.43,-6.20,26.76,20.56,26.76,-22.87
PB4,pose010,0.00,-46.37,0.00,-46.37,-7.09,33.76,26.67,33.76,-19.70
GB1,pose001,0.00,-58.84,0.01,-58.83,-7.03,10.81,3.78,10.81,-55.05
GB1,pose002,0.00,-45.76,0.01,-45.76,-5.54,13.11,7.57,13.11,-38.19
GB1,pose003,0.00,-44.91,0.00,-44.91,-5.89,12.85,6.96,12.85,-37.94
GB1,pose004,0.00,-42.97,0.00,-42.97,-5.49,12.26,6.77,12.26,-36.20
GB1,pose005,0.00,-48.67,0.00,-48.66,-6.06,15.14,9.09,15.14,-39.58
GB1,pose006,0.00,-42.52,0.00,-42.51,-5.79,12.78,6.99,12.78,-35.52
GB1,pose007,0.00,-42.45,0.00,-42.45,-5.91,14.80,8.89,14.80,-33.55
GB1,pose008,0.00,-46.85,0.00,-46.84,-6.10,14.72,8.62,14.72,-38.23
GB1,pose009,0.00,-43.44,0.00,-43.43,-5.19,10.97,5.77,10.97,-37.66
GB1,pose010,0.00,-46.37,0.00,-46.37,-5.77,10.74,4.98,10.74,-41.39
GB2,pose001,0.00,-58.84,0.01,-58.83,-4.88,14.22,9.34,14.22,-49.49
GB2,pose002,0.00,-45.76,0.01,-45.76,-3.85,16.55,12.70,16.55,-33.05
GB2,pose003,0.00,-44.91,0.00,-44.91,-4.09,15.93,11.85,15.93,-33.06
GB2,pose004,0.00,-42.97,0.00,-42.97,-3.81,15.41,11.60,15.41,-31.37
GB2,pose005,0.00,-48.67,0.00,-48.66,-4.21,19.81,15.60,19.81,-33.06
GB2,pose006,0.00,-42.52,0.00,-42.51,-4.02,15.57,11.55,15.57,-30.96
GB2,pose007,0.00,-42.45,0.00,-42.45,-4.10,18.46,14.36,18.46,-28.09
GB2,pose008,0.00,-46.85,0.00,-46.84,-4.24,18.86,14.62,18.86,-32.22
GB2,pose009,0.00,-43.44,0.00,-43.43,-3.61,13.63,10.02,13.63,-33.41
GB2,pose010,0.00,-46.37,0.00,-46.37,-4.00,14.07,10.07,14.07,-36.30
GB5,pose001,0.00,-58.84,0.01,-58.83,-4.88,14.97,10.09,14.97,-48.74
GB5,pose002,0.00,-45.76,0.01,-45.76,-3.85,17.02,13.18,17.02,-32.58
GB5,pose003,0.00,-44.91,0.00,-44.91,-4.09,16.43,12.34,16.43,-32.57
GB5,pose004,0.00,-42.97,0.00,-42.97,-3.81,16.34,12.53,16.34,-30.44
GB5,pose005,0.00,-48.67,0.00,-48.66,-4.21,20.48,16.27,20.48,-32.39
GB5,pose006,0.00,-42.52,0.00,-42.51,-4.02,16.17,12.15,16.17,-30.37
GB5,pose007,0.00,-42.45,0.00,-42.45,-4.10,19.56,15.46,19.56,-26.99
GB5,pose008,0.00,-46.85,0.00,-46.84,-4.24,19.99,15.76,19.99,-31.09
GB5,pose009,0.00,-43.44,0.00,-43.43,-3.61,14.31,10.70,14.31,-32.73
GB5,pose010,0.00,-46.37,0.00,-46.37,-4.00,14.84,10.83,14.84,-35.54
GB6,pose001,0.00,-58.84,0.01,-58.83,-5.02,25.28,20.26,25.28,-38.57
GB6,pose002,0.00,-45.76,0.01,-45.76,-4.69,35.86,31.17,35.86,-14.58
GB6,pose003,0.00,-44.91,0.00,-44.91,-5.05,38.65,33.60,38.65,-11.31
GB6,pose004,0.00,-42.97,0.00,-42.97,-5.14,36.30,31.15,36.30,-11.81
GB6,pose005,0.00,-48.67,0.00,-48.66,-5.20,48.05,42.85,48.05,-5.81
GB6,pose006,0.00,-42.52,0.00,-42.51,-5.09,37.85,32.76,37.85,-9.75
GB6,pose007,0.00,-42.45,0.00,-42.45,-4.92,34.38,29.46,34.38,-12.99
GB6,pose008,0.00,-46.85,0.00,-46.84,-5.40,47.83,42.43,47.83,-4.42
GB6,pose009,0.00,-43.44,0.00,-43.43,-4.30,28.72,24.42,28.72,-19.02
GB6,pose010,0.00,-46.37,0.00,-46.37,-4.92,33.95,29.03,33.95,-17.34
GB7,pose001,0.00,-58.84,0.01,-58.83,-4.88,13.88,9.00,13.88,-49.83
GB7,pose002,0.00,-45.76,0.01,-45.76,-3.85,19.31,15.47,19.31,-30.29
GB7,pose003,0.00,-44.91,0.00,-44.91,-4.09,17.70,13.61,17.70,-31.30
GB7,pose004,0.00,-42.97,0.00,-42.97,-3.81,18.96,15.14,18.96,-27.82
GB7,pose005,0.00,-48.67,0.00,-48.66,-4.21,21.94,17.74,21.94,-30.92
GB7,pose006,0.00,-42.52,0.00,-42.51,-4.02,17.89,13.86,17.89,-28.65
GB7,pose007,0.00,-42.45,0.00,-42.45,-4.10,20.46,16.36,20.46,-26.09
GB7,pose008,0.00,-46.85,0.00,-46.84,-4.24,23.31,19.07,23.31,-27.77
GB7,pose009,0.00,-43.44,0.00,-43.43,-3.61,15.05,11.44,15.05,-31.99
GB7,pose010,0.00,-46.37,0.00,-46.37,-4.00,15.87,11.87,15.87,-34.50
GB8,pose001,0.00,-58.84,0.01,-58.83,-4.88,17.50,12.62,17.50,-46.21
GB8,pose002,0.00,-45.76,0.01,-45.76,-3.85,25.92,22.08,25.92,-23.68
GB8,pose003,0.00,-44.91,0.00,-44.91,-4.09,23.10,19.01,23.10,-25.90
