Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
GB5,pose006,0.00,-12.26,0.00,-12.26,-1.10,4.74,3.64,4.74,-8.62
GB5,pose007,0.00,-10.32,-0.01,-10.32,-0.92,3.93,3.01,3.93,-7.32
GB5,pose008,0.00,-12.61,-0.00,-12.61,-1.17,5.37,4.20,5.37,-8.42
GB5,pose009,0.00,-14.21,-0.00,-14.21,-1.26,5.95,4.69,5.95,-9.53
GB5,pose010,0.00,-14.09,-0.00,-14.09,-1.17,4.90,3.73,4.90,-10.36
GB6,pose001,0.00,-17.11,0.00,-17.11,-1.94,13.26,11.31,13.26,-5.79
GB6,pose002,0.00,-13.52,-0.00,-13.52,-1.67,9.13,7.46,9.13,-6.06
GB6,pose003,0.00,-14.77,-0.00,-14.77,-1.47,8.25,6.79,8.25,-7.98
GB6,pose004,0.00,-12.51,-0.00,-12.52,-1.53,8.31,6.78,8.31,-5.74
GB6,pose005,0.00,-17.75,-0.00,-17.75,-1.81,11.69,9.88,11.69,-7.87
GB6,pose006,0.00,-12.26,0.00,-12.26,-1.57,6.93,5.35,6.93,-6.91
GB6,pose007,0.00,-10.32,-0.01,-10.32,-1.33,4.98,3.65,4.98,-6.67
GB6,pose008,0.00,-12.61,-0.00,-12.61,-1.40,9.28,7.88,9.28,-4.73
GB6,pose009,0.00,-14.21,-0.00,-14.21,-1.61,10.71,9.10,10.71,-5.11
GB6,pose010,0.00,-14.09,-0.00,-14.09,-1.46,7.30,5.83,7.30,-8.26
GB7,pose001,0.00,-17.11,0.00,-17.11,-1.42,7.30,5.88,7.30,-11.22
GB7,pose002,0.00,-13.52,-0.00,-13.52,-1.12,5.02,3.91,5.02,-9.61
GB7,pose003,0.00,-14.77,-0.00,-14.77,-1.12,3.99,2.87,3.99,-11.90
GB7,pose004,0.00,-12.51,-0.00,-12.52,-1.10,4.37,3.27,4.37,-9.25
GB7,pose005,0.00,-17.75,-0.00,-17.75,-1.40,6.61,5.20,6.61,-12.55
GB7,pose006,0.00,-12.26,0.00,-12.26,-1.10,3.86,2.75,3.86,-9.51
GB7,pose007,0.00,-10.32,-0.01,-10.32,-0.92,3.29,2.37,3.29,-7.95
GB7,pose008,0.00,-12.61,-0.00,-12.61,-1.17,5.27,4.10,5.27,-8.51
GB7,pose009,0.00,-14.21,-0.00,-14.21,-1.26,5.98,4.72,5.98,-9.49
GB7,pose010,0.00,-14.09,-0.00,-14.09,-1.17,4.25,3.08,4.25,-11.01
GB8,pose001,0.00,-17.11,0.00,-17.11,-1.42,7.52,6.10,7.52,-11.01
GB8,pose002,0.00,-13.52,-0.00,-13.52,-1.12,5.46,4.34,5.46,-9.18
GB8,pose003,0.00,-14.77,-0.00,-14.77,-1.12,5.18,4.06,5.18,-10.71
GB8,pose004,0.00,-12.51,-0.00,-12.52,-1.10,4.58,3.47,4.58,-9.04
GB8,pose005,0.00,-17.75,-0.00,-17.75,-1.40,7.24,5.84,7.24,-11.91
GB8,pose006,0.00,-12.26,0.00,-12.26,-1.10,4.55,3.44,4.55,-8.82
GB8,pose007,0.00,-10.32,-0.01,-10.32,-0.92,3.38,2.46,3.38,-7.87
GB8,pose008,0.00,-12.61,-0.00,-12.61,-1.17,4.82,3.65,4.82,-8.96
GB8,pose009,0.00,-14.21,-0.00,-14.21,-1.26,6.33,5.07,6.33,-9.14
GB8,pose010,0.00,-14.09,-0.00,-14.09,-1.17,5.19,4.02,5.19,-10.07
